Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
123.36,5.69,5,0,0.235316,0.8
123.46,5.69,5,0,0.49617,0.8
123.56,5.69,5,0,0.955914,0.8
123.66,5.69,5,0,1.68088,0.8
123.76,5.69,5,0,2.70782,0.8
123.86,5.69,5,0,4.01321,0.8
123.96,5.69,5,0,5.50525,0.8
124.06,5.69,5,0,7.0427,0.8
124.16,5.69,5,0,8.48136,0.8
124.26,5.69,5,0,9.7084,0.8
124.36,5.69,5,0,10.6592,0.8
124.46,5.69,5,0,11.3015,0.8
124.56,5.69,5,0,11.6191,0.8
124.66,5.69,5,0,11.6106,0.8
124.76,5.69,5,0,11.3065,0.8
124.86,5.69,5,0,10.7802,0.8
124.96,5.69,5,0,10.1315,0.8
125.06,5.69,5,0,9.44575,0.8
125.16,5.69,5,0,8.7617,0.8
125.26,5.69,5,0,8.06248,0.8
125.36,5.69,5,0,7.31192,0.8
125.46,5.69,5,0,6.50885,0.8
125.56,5.69,5,0,5.73805,0.8
125.66,5.69,5,0,5.20523,0.8
125.76,5.69,5,0,5.2369,0.8
125.86,5.69,5,0,6.24484,0.8
125.96,5.69,5,0,8.64661,0.8
126.06,5.69,5,0,12.7288,0.8
126.16,5.69,5,0,18.4619,0.8
126.26,5.69,5,0,25.353,0.8
126.36,5.69,5,0,32.4238,0.8
126.46,5.69,5,0,38.4124,0.8
126.56,5.69,5,0,42.1635,0.8
126.66,5.69,5,0,43.0527,0.8
126.76,5.69,5,0,41.2386,0.8
126.86,5.69,5,0,37.5907,0.8
126.96,5.69,5,0,33.3422,0.8
127.06,5.69,5,0,29.6198,0.8
127.16,5.69,5,0,27.0668,0.8
127.26,5.69,5,0,25.699,0.8
127.36,5.69,5,0,25.0058,0.8
127.46,5.69,5,0,24.2394,0.8
127.56,5.69,5,0,22.7522,0.8
127.66,5.69,5,0,20.2477,0.8
127.76,5.69,5,0,16.8599,0.8
127.86,5.69,5,0,13.0331,0.8
127.96,5.69,5,0,9.31109,0.8
128.06,5.69,5,0,6.13491,0.8
128.16,5.69,5,0,3.72221,0.8
128.26,5.69,5,0,2.07796,0.8
128.36,5.69,5,0,1.0674,0.8
128.46,5.69,5,0,0.504549,0.8
128.56,5.69,5,0,0.220199,0.8
128.66,5.69,5,0,0.0890073,0.8
128.76,5.69,5,0,0.0328136,0.8
128.86,5.69,5,0,0.0111321,0.8
128.96,5.69,5,0,0.00322896,0.8
129.06,5.69,5,0,0.000956938,0.8
122.86,5.59,5,0,0.00126027,0.8
122.96,5.59,5,0,0.00402306,0.8
123.06,5.59,5,0,0.0126288,0.8
123.16,5.59,5,0,0.0347514,0.8
123.26,5.59,5,0,0.0886476,0.8
123.36,5.59,5,0,0.205651,0.8
123.46,5.59,5,0,0.43548,0.8
123.56,5.59,5,0,0.841254,0.8
123.66,5.59,5,0,1.48446,0.8
123.76,5.59,5,0,2.40055,0.8
123.86,5.59,5,0,3.57256,0.8
123.96,5.59,5,0,4.92281,0.8
124.06,5.59,5,0,6.32953,0.8
124.16,5.59,5,0,7.66354,0.8
124.26,5.59,5,0,8.82385,0.8
124.36,5.59,5,0,9.75535,0.8
124.46,5.59,5,0,10.4324,0.8
124.56,5.59,5,0,10.8461,0.8
124.66,5.59,5,0,10.9996,0.8
124.76,5.59,5,0,10.9191,0.8
124.86,5.59,5,0,10.6592,0.8
124.96,5.59,5,0,10.2871,0.8
125.06,5.59,5,0,9.84777,0.8
125.16,5.59,5,0,9.33976,0.8
125.26,5.59,5,0,8.72203,0.8
125.36,5.59,5,0,7.95005,0.8
125.46,5.59,5,0,7.04014,0.8
125.56,5.59,5,0,6.11083,0.8
125.66,5.59,5,0,5.40725,0.8
125.76,5.59,5,0,5.28969,0.8
125.86,5.59,5,0,6.19774,0.8
125.96,5.59,5,0,8.56707,0.8
126.06,5.59,5,0,12.6969,0.8
126.16,5.59,5,0,18.564,0.8
126.26,5.59,5,0,25.6668,0.8
126.36,5.59,5,0,32.9934,0.8
126.46,5.59,5,0,39.2283,0.8
126.56,5.59,5,0,43.1559,0.8
126.66,5.59,5,0,44.1009,0.8
126.76,5.59,5,0,42.2026,0.8
126.86,5.59,5,0,38.3402,0.8
126.96,5.59,5,0,33.777,0.8
127.06,5.59,5,0,29.6717,0.8
127.16,5.59,5,0,26.7058,0.8
127.26,5.59,5,0,24.9299,0.8
127.36,5.59,5,0,23.8784,0.8
127.46,5.59,5,0,22.8523,0.8
127.56,5.59,5,0,21.243,0.8
127.66,5.59,5,0,18.769,0.8
127.76,5.59,5,0,15.5429,0.8
127.86,5.59,5,0,11.9647,0.8
127.96,5.59,5,0,8.52079,0.8
128.06,5.59,5,0,5.6022,0.8
128.16,5.59,5,0,3.39612,0.8
128.26,5.59,5,0,1.8977,0.8
128.36,5.59,5,0,0.978943,0.8
128.46,5.59,5,0,0.467233,0.8
128.56,5.59,5,0,0.207298,0.8
128.66,5.59,5,0,0.0862571,0.8
128.76,5.59,5,0,0.0336513,0.8
128.86,5.59,5,0,0.012197,0.8
128.96,5.59,5,0,0.00407582,0.8
129.06,5.59,5,0,0.00142284,0.8
129.16,5.59,5,0,0.000415312,0.8
122.86,5.49,5,0,0.000824079,0.8
122.96,5.49,5,0,0.00340857,0.8
123.06,5.49,5,0,0.0109475,0.8
123.16,5.49,5,0,0.0301992,0.8
123.26,5.49,5,0,0.0772178,0.8
123.36,5.49,5,0,0.180149,0.8
123.46,5.49,5,0,0.382128,0.8
123.56,5.49,5,0,0.740477,0.8
123.66,5.49,5,0,1.31057,0.8
123.76,5.49,5,0,2.12535,0.8
123.86,5.49,5,0,3.17069,0.8
123.96,5.49,5,0,4.37803,0.8
124.06,5.49,5,0,5.63693,0.8
124.16,5.49,5,0,6.83003,0.8
124.26,5.49,5,0,7.86941,0.8
124.36,5.49,5,0,8.71709,0.8
124.46,5.49,5,0,9.37062,0.8
124.56,5.49,5,0,9.84869,0.8
124.66,5.49,5,0,10.1772,0.8
124.76,5.49,5,0,10.3875,0.8
124.86,5.49,5,0,10.5118,0.8
124.96,5.49,5,0,10.5666,0.8
125.06,5.49,5,0,10.5283,0.8
125.16,5.49,5,0,10.3258,0.8
125.26,5.49,5,0,9.86822,0.8
125.36,5.49,5,0,9.0954,0.8
125.46,5.49,5,0,8.04298,0.8
125.56,5.49,5,0,6.87928,0.8
125.66,5.49,5,0,5.90279,0.8
125.76,5.49,5,0,5.52003,0.8
125.86,5.49,5,0,6.19512,0.8
125.96,5.49,5,0,8.37197,0.8
126.06,5.49,5,0,12.3495,0.8
126.16,5.49,5,0,18.102,0.8
126.26,5.49,5,0,25.1303,0.8
126.36,5.49,5,0,32.4272,0.8
126.46,5.49,5,0,38.6719,0.8
126.56,5.49,5,0,42.6321,0.8
126.66,5.49,5,0,43.6094,0.8
126.76,5.49,5,0,41.7112,0.8
126.86,5.49,5,0,37.7891,0.8
126.96,5.49,5,0,33.0835,0.8
127.06,5.49,5,0,28.7443,0.8
127.16,5.49,5,0,25.4607,0.8
127.26,5.49,5,0,23.3231,0.8
127.36,5.49,5,0,21.931,0.8
127.46,5.49,5,0,20.662,0.8
127.56,5.49,5,0,18.9712,0.8
127.66,5.49,5,0,16.6064,0.8
127.76,5.49,5,0,13.6576,0.8
127.86,5.49,5,0,10.4601,0.8
127.96,5.49,5,0,7.42516,0.8
128.06,5.49,5,0,4.87651,0.8
128.16,5.49,5,0,2.96201,0.8
128.26,5.49,5,0,1.66635,0.8
128.36,5.49,5,0,0.871214,0.8
128.46,5.49,5,0,0.426211,0.8
128.56,5.49,5,0,0.19753,0.8
128.66,5.49,5,0,0.0877374,0.8
128.76,5.49,5,0,0.0377385,0.8
128.86,5.49,5,0,0.0156583,0.8
128.96,5.49,5,0,0.00604215,0.8
